"","Tree Number","Site","Seed Zone","Measurement.Year","Date Measured","Tree Height (cm)","Tree Diameter (mm)","Health","Comment","Date Planted","Temp Tree Number","New Tree Number","Elk Browse","Planted Growth Days","Final.Health"
"502",54,"Tomanamus","OR",2025,2025-07-31,122,17.8,"Alive","Dead branches on terminal",2022-03-12,54,NA,"N",1237,"Alive"
"503",54,"Tomanamus","WA",2022,2022-02-07,73,11,"Alive",NA,2022-03-12,299,456,"N",-33,"Alive"
"504",54,"Tomanamus","WA",2023,2023-04-28,64,12.9,"Alive","browsed top, missing tag",2022-03-12,299,456,"Y",412,"Alive"
"505",54,"Tomanamus","WA",2024,2024-07-18,65,12.75,"Alive","Browsed",2022-03-12,299,456,"Y",859,"Alive"
"506",54,"Tomanamus","WA",2025,2025-07-31,77,15.1,"Alive","browsed",2022-03-12,299,456,"Y",1237,"Alive"
"507",55,"Tomanamus","OR",2022,2022-02-07,86.2,7.4,"Alive",NA,2022-03-12,55,NA,"N",-33,"Alive"
"508",55,"Tomanamus","OR",2023,2023-04-28,96,10.5,"Alive","60% dead",2022-03-12,55,NA,"N",412,"Alive"
"509",55,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,55,NA,"N",859,"Alive"
"510",55,"Tomanamus","OR",2025,2025-07-31,111,13.4,"Alive","Browsed",2022-03-12,55,NA,"Y",1237,"Alive"
"511",55,"Tomanamus","WA",2022,2022-02-07,102.4,11,"Alive",NA,2022-03-12,300,457,"N",-33,"Alive"
"512",55,"Tomanamus","WA",2023,2023-04-28,104,12,"Alive",NA,2022-03-12,300,457,"N",412,"Alive"
"513",55,"Tomanamus","WA",2024,2024-07-18,105,11.08,"Alive",NA,2022-03-12,300,457,"N",859,"Alive"
"514",55,"Tomanamus","WA",2025,2025-07-31,113,14.2,"Alive","terminal browsed",2022-03-12,300,457,"Y",1237,"Alive"
"515",56,"Tomanamus","OR",2022,2022-02-07,68,5,"Alive",NA,2022-03-12,56,NA,"N",-33,"Alive"
"516",56,"Tomanamus","OR",2023,2023-04-28,73,8.8,"Alive","5% dead",2022-03-12,56,NA,"N",412,"Alive"
"517",56,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,56,NA,"N",859,"Alive"
"518",56,"Tomanamus","OR",2025,2025-07-31,168,22.8,"Alive",NA,2022-03-12,56,NA,"N",1237,"Alive"
"519",56,"Tomanamus","WA",2022,2022-02-07,105.2,12,"Alive",NA,2022-03-12,301,458,"N",-33,"Alive"
"520",56,"Tomanamus","WA",2023,2023-04-28,93,11.7,"Alive","browsed top and  lateral, 50% dead",2022-03-12,301,458,"Y",412,"Alive"
"521",56,"Tomanamus","WA",2024,2024-07-18,105,11.85,"Alive","Browsed",2022-03-12,301,458,"Y",859,"Alive"
"522",56,"Tomanamus","WA",2025,2025-07-31,125,14.2,"Alive","middle browsed",2022-03-12,301,458,"Y",1237,"Alive"
"523",57,"Tomanamus","OR",2022,2022-02-07,85.6,8.7,"Alive",NA,2022-03-12,57,NA,"N",-33,"Alive"
"524",57,"Tomanamus","OR",2023,2023-04-28,84,10.4,"Alive","60% dead, 2 leaders",2022-03-12,57,NA,"N",412,"Alive"
"525",57,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,57,NA,"N",859,"Alive"
"526",57,"Tomanamus","OR",2025,2025-07-31,142,16.1,"Alive","Browsed",2022-03-12,57,NA,"Y",1237,"Alive"
"527",57,"Tomanamus","WA",2022,2022-02-07,106.6,11,"Alive",NA,2022-03-12,302,459,"N",-33,"Alive"
"528",57,"Tomanamus","WA",2023,2023-04-28,97,11.6,"Alive","browsed top",2022-03-12,302,459,"Y",412,"Alive"
"529",57,"Tomanamus","WA",2024,2024-07-18,97,15.22,"Alive","Browsed",2022-03-12,302,459,"Y",859,"Alive"
"530",57,"Tomanamus","WA",2025,2025-07-31,157,24.5,"Alive","flagging, browsed",2022-03-12,302,459,"Y",1237,"Alive"
"531",58,"Tomanamus","OR",2022,2022-02-07,68.8,6.4,"Alive",NA,2022-03-12,58,NA,"N",-33,"Alive"
"532",58,"Tomanamus","OR",2023,2023-04-28,80,9.6,"Alive","5% dead",2022-03-12,58,NA,"N",412,"Alive"
"533",58,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,58,NA,"N",859,"Alive"
"534",58,"Tomanamus","OR",2025,2025-07-31,95,20.2,"Alive",NA,2022-03-12,58,NA,"N",1237,"Alive"
"535",58,"Tomanamus","WA",2022,2022-02-07,91,12,"Alive",NA,2022-03-12,303,460,"N",-33,"Alive"
"536",58,"Tomanamus","WA",2023,2023-04-28,100,14.7,"Alive","browsed lateral",2022-03-12,303,460,"Y",412,"Alive"
"537",58,"Tomanamus","WA",2024,2024-07-18,139,18,"Alive",NA,2022-03-12,303,460,"N",859,"Alive"
"538",58,"Tomanamus","WA",2025,2025-07-31,179,30.2,"Alive","flagging",2022-03-12,303,460,"N",1237,"Alive"
"539",59,"Tomanamus","OR",2022,2022-02-07,88.6,6.9,"Alive",NA,2022-03-12,59,NA,"N",-33,"Alive"
"540",59,"Tomanamus","OR",2023,2023-04-28,92,9.7,"Alive","20% dead",2022-03-12,59,NA,"N",412,"Alive"
"541",59,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,59,NA,"N",859,"Alive"
"542",59,"Tomanamus","OR",2025,2025-07-31,133,18.1,"Alive","Browsed",2022-03-12,59,NA,"Y",1237,"Alive"
"543",59,"Tomanamus","WA",2022,2022-02-07,66.8,9.5,"Alive",NA,2022-03-12,304,461,"N",-33,"Alive"
"544",59,"Tomanamus","WA",2023,2023-04-28,58,9.6,"Alive","browsed top",2022-03-12,304,461,"Y",412,"Alive"
"545",59,"Tomanamus","WA",2024,2024-07-18,67,12.5,"Alive",NA,2022-03-12,304,461,"N",859,"Alive"
"546",59,"Tomanamus","WA",2025,2025-07-31,96,21.7,"Alive","browsed",2022-03-12,304,461,"Y",1237,"Alive"
"547",60,"Tomanamus","OR",2022,2022-02-07,87.4,7.8,"Alive",NA,2022-03-12,60,NA,"N",-33,"Alive"
"548",60,"Tomanamus","OR",2023,2023-04-28,89,9.1,"Alive","30% dead",2022-03-12,60,NA,"N",412,"Alive"
"549",60,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,60,NA,"N",859,"Alive"
"550",60,"Tomanamus","OR",2025,2025-07-31,156,20.9,"Alive","Browsed",2022-03-12,60,NA,"Y",1237,"Alive"
"551",60,"Tomanamus","WA",2022,2022-02-07,93.8,12,"Alive",NA,2022-03-12,305,462,"N",-33,"Alive"
"552",60,"Tomanamus","WA",2023,2023-04-28,83,13.2,"Alive","browsed top",2022-03-12,305,462,"Y",412,"Alive"
"553",60,"Tomanamus","WA",2024,2024-07-18,83,12.5,"Alive",NA,2022-03-12,305,462,"N",859,"Alive"
"554",60,"Tomanamus","WA",2025,2025-07-31,118,22.9,"Alive","flagging",2022-03-12,305,462,"N",1237,"Alive"
"555",61,"Tomanamus","OR",2022,2022-02-07,31.8,2.5,"Alive",NA,2022-03-12,61,NA,"N",-33,"Alive"
"556",61,"Tomanamus","OR",2023,2023-04-28,31,6.4,"Alive","top browsed",2022-03-12,61,NA,"Y",412,"Alive"
"557",61,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,61,NA,"N",859,"Alive"
"558",61,"Tomanamus","OR",2025,2025-07-31,68,15.7,"Alive",NA,2022-03-12,61,NA,"N",1237,"Alive"
"559",61,"Tomanamus","WA",2022,2022-02-07,95.4,9,"Alive",NA,2022-03-12,306,NA,"N",-33,"Alive"
"560",61,"Tomanamus","WA",2023,2023-04-28,80,11.1,"Alive","browsed top",2022-03-12,306,NA,"Y",412,"Alive"
"561",62,"Tomanamus","OR",2022,2022-02-07,103.8,7.6,"Alive",NA,2022-03-12,62,NA,"N",-33,"Alive"
"562",62,"Tomanamus","OR",2023,2023-04-28,97,9.9,"Alive","90% dead, top browsed",2022-03-12,62,NA,"Y",412,"Alive"
"563",62,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Dead",NA,2022-03-12,62,NA,"N",859,"Alive"
"564",62,"Tomanamus","OR",2025,2025-07-31,156,22,"Alive","Browsed",2022-03-12,62,NA,"Y",1237,"Alive"
"565",62,"Tomanamus","WA",2022,2022-02-07,98,11,"Alive",NA,2022-03-12,307,463,"N",-33,"Alive"
"566",62,"Tomanamus","WA",2023,2023-04-28,86,11.3,"Alive","browsed top, 70% dead",2022-03-12,307,463,"Y",412,"Alive"
"567",62,"Tomanamus","WA",2024,2024-07-18,95,15.2,"Alive",NA,2022-03-12,307,463,"N",859,"Alive"
"568",62,"Tomanamus","WA",2025,2025-07-31,115,18.7,"Alive",NA,2022-03-12,307,463,"N",1237,"Alive"
"569",63,"Tomanamus","OR",2022,2022-02-07,53.2,3.6,"Alive",NA,2022-03-12,63,NA,"N",-33,"Alive"
"570",63,"Tomanamus","OR",2023,2023-04-28,50,8.9,"Alive","5% dead, top browsed, 2 leaders",2022-03-12,63,NA,"Y",412,"Alive"
"571",63,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,63,NA,"N",859,"Alive"
"572",63,"Tomanamus","OR",2025,2025-07-31,65,16.5,"Alive",NA,2022-03-12,63,NA,"N",1237,"Alive"
"573",63,"Tomanamus","WA",2022,2022-02-07,84.2,9.5,"Alive",NA,2022-03-12,308,466,"N",-33,"Alive"
"574",63,"Tomanamus","WA",2023,2023-04-28,77,11.7,"Alive","browsed top",2022-03-12,308,466,"Y",412,"Alive"
"575",63,"Tomanamus","WA",2024,2024-07-18,88,15,"Alive",NA,2022-03-12,308,466,"N",859,"Alive"
"576",63,"Tomanamus","WA",2025,2025-07-31,112,21.7,"Alive","dieback, flagging",2022-03-12,308,466,"N",1237,"Alive"
"577",64,"Tomanamus","OR",2022,2022-02-07,87.6,7.5,"Alive",NA,2022-03-12,64,NA,"N",-33,"Alive"
"578",64,"Tomanamus","OR",2023,2023-04-28,96,12.6,"Alive","75% dead, browsed, top dead",2022-03-12,64,NA,"Y",412,"Alive"
"579",64,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Dead",NA,2022-03-12,64,NA,"N",859,"Alive"
"580",64,"Tomanamus","OR",2025,2025-07-31,125,24,"Alive",NA,2022-03-12,64,NA,"N",1237,"Alive"
"581",64,"Tomanamus","WA",2022,2022-02-07,93.4,11.5,"Alive",NA,2022-03-12,309,NA,"N",-33,"Missing"
"582",64,"Tomanamus","WA",2023,2023-04-28,89,12.5,"Alive","browsed top",2022-03-12,309,NA,"Y",412,"Missing"
"583",64,"Tomanamus","WA",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,309,NA,"N",859,"Missing"
"584",64,"Tomanamus","WA",2025,2025-07-31,NA,NA,"Missing",NA,2022-03-12,309,NA,"N",1237,"Missing"
"585",65,"Tomanamus","OR",2022,2022-02-07,73,8.3,"Alive",NA,2022-03-12,65,NA,"N",-33,"Alive"
"586",65,"Tomanamus","OR",2023,2023-04-28,24,10.8,"Alive","broken at base but resprouted",2022-03-12,65,NA,"N",412,"Alive"
"587",65,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,65,NA,"N",859,"Alive"
"588",65,"Tomanamus","OR",2025,2025-07-31,56,17,"Alive","Browsed",2022-03-12,65,NA,"Y",1237,"Alive"
"589",65,"Tomanamus","WA",2022,2022-02-07,93.8,10,"Alive",NA,2022-03-12,310,NA,"N",-33,"Missing"
"590",65,"Tomanamus","WA",2023,2023-04-28,91,9.7,"Alive","browsed top",2022-03-12,310,NA,"Y",412,"Missing"
"591",65,"Tomanamus","WA",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,310,NA,"N",859,"Missing"
"592",65,"Tomanamus","WA",2025,2025-07-31,NA,NA,"Missing",NA,2022-03-12,310,NA,"N",1237,"Missing"
"593",66,"Tomanamus","OR",2022,2022-02-07,72.4,5.4,"Alive",NA,2022-03-12,66,NA,"N",-33,"Alive"
"594",66,"Tomanamus","OR",2023,2023-04-28,79,12.2,"Alive","40% dead",2022-03-12,66,NA,"N",412,"Alive"
"595",66,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,66,NA,"N",859,"Alive"
"596",66,"Tomanamus","OR",2025,2025-07-31,180,26.6,"Alive",NA,2022-03-12,66,NA,"N",1237,"Alive"
"597",66,"Tomanamus","WA",2022,2022-02-07,73.6,7,"Alive",NA,2022-03-12,311,NA,"N",-33,"Missing"
"598",66,"Tomanamus","WA",2023,2023-04-28,58,11.3,"Alive","browsed top, 50% dead",2022-03-12,311,NA,"Y",412,"Missing"
"599",66,"Tomanamus","WA",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,311,NA,"N",859,"Missing"
"600",66,"Tomanamus","WA",2025,2025-07-31,NA,NA,"Missing",NA,2022-03-12,311,NA,"N",1237,"Missing"
"601",67,"Tomanamus","OR",2022,2022-02-07,85,5.7,"Alive",NA,2022-03-12,67,NA,"N",-33,"Alive"
"602",67,"Tomanamus","OR",2023,2023-04-28,77,9,"Alive","15% dead, top browsed",2022-03-12,67,NA,"Y",412,"Alive"
"603",67,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,67,NA,"N",859,"Alive"
"604",67,"Tomanamus","OR",2025,2025-07-31,92,20.5,"Alive",NA,2022-03-12,67,NA,"N",1237,"Alive"
"605",67,"Tomanamus","WA",2022,2022-02-07,81.8,14,"Alive",NA,2022-03-12,312,NA,"N",-33,"Missing"
"606",67,"Tomanamus","WA",2023,2023-04-28,74,7.8,"Alive","browsed top",2022-03-12,312,NA,"Y",412,"Missing"
"607",67,"Tomanamus","WA",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,312,NA,"N",859,"Missing"
"608",67,"Tomanamus","WA",2025,2025-07-31,NA,NA,"Missing",NA,2022-03-12,312,NA,"N",1237,"Missing"
"609",68,"Tomanamus","OR",2022,2022-02-07,79.4,7.2,"Alive","two tops",2022-03-12,68,NA,"N",-33,"Alive"
"610",68,"Tomanamus","OR",2023,2023-04-28,81,9,"Alive","5% dead, top browsed",2022-03-12,68,NA,"Y",412,"Alive"
"611",68,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,68,NA,"N",859,"Alive"
"612",68,"Tomanamus","OR",2025,2025-07-31,124,26.6,"Alive",NA,2022-03-12,68,NA,"N",1237,"Alive"
"613",68,"Tomanamus","WA",2022,2022-02-07,90,13,"Alive",NA,2022-03-12,313,NA,"N",-33,"Missing"
"614",68,"Tomanamus","WA",2023,2023-04-28,80,12.7,"Alive","browsed top and  lateral",2022-03-12,313,NA,"Y",412,"Missing"
"615",68,"Tomanamus","WA",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,313,NA,"N",859,"Missing"
"616",68,"Tomanamus","WA",2025,2025-07-31,NA,NA,"Missing",NA,2022-03-12,313,NA,"N",1237,"Missing"
"617",69,"Tomanamus","OR",2022,2022-02-07,45,4.7,"Alive",NA,2022-03-12,69,NA,"N",-33,"Alive"
"618",69,"Tomanamus","OR",2023,2023-04-28,43,7.6,"Alive","40% dead, top browsed",2022-03-12,69,NA,"Y",412,"Alive"
"619",69,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,69,NA,"N",859,"Alive"
"620",69,"Tomanamus","OR",2025,2025-07-31,107,19.9,"Alive","Browsed",2022-03-12,69,NA,"Y",1237,"Alive"
"621",69,"Tomanamus","WA",2022,2022-02-07,79,10,"Alive",NA,2022-03-12,314,NA,"N",-33,"Missing"
"622",69,"Tomanamus","WA",2023,2023-04-28,60,11.1,"Alive","browsed top",2022-03-12,314,NA,"Y",412,"Missing"
"623",69,"Tomanamus","WA",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,314,NA,"N",859,"Missing"
"624",69,"Tomanamus","WA",2025,2025-07-31,NA,NA,"Missing",NA,2022-03-12,314,NA,"N",1237,"Missing"
"625",70,"Tomanamus","OR",2022,2022-02-07,94.6,7.5,"Alive",NA,2022-03-12,70,NA,"N",-33,"Alive"
"626",70,"Tomanamus","OR",2023,2023-04-28,94,13.3,"Alive","10% dead,top browsed",2022-03-12,70,NA,"Y",412,"Alive"
"627",70,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,70,NA,"N",859,"Alive"
"628",70,"Tomanamus","OR",2025,2025-07-31,125,29,"Alive",NA,2022-03-12,70,NA,"N",1237,"Alive"
"629",70,"Tomanamus","WA",2022,2022-02-07,106,13.5,"Alive",NA,2022-03-12,315,304,"N",-33,"Alive"
"630",70,"Tomanamus","WA",2023,2023-04-28,104,14.9,"Alive","browsed top",2022-03-12,315,304,"Y",412,"Alive"
"631",70,"Tomanamus","WA",2024,2024-07-18,75,14,"Alive","Browsed",2022-03-12,315,304,"Y",859,"Alive"
"632",70,"Tomanamus","WA",2025,2025-07-31,92,23.9,"Alive","browsed",2022-03-12,315,304,"Y",1237,"Alive"
"633",71,"Tomanamus","OR",2022,2022-02-07,74,6.1,"Alive","three tops",2022-03-12,71,NA,"N",-33,"Alive"
"634",71,"Tomanamus","OR",2023,2023-04-28,83,11.5,"Alive","5% dead, 3 leaders",2022-03-12,71,NA,"N",412,"Alive"
"635",71,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,71,NA,"N",859,"Alive"
"636",71,"Tomanamus","OR",2025,2025-07-31,128,21.1,"Alive",NA,2022-03-12,71,NA,"N",1237,"Alive"
"637",71,"Tomanamus","WA",2022,2022-02-07,66.8,6.5,"Alive",NA,2022-03-12,316,NA,"N",-33,"Missing"
"638",71,"Tomanamus","WA",2023,2023-04-28,63,8.6,"Alive","browsed top, missing tag",2022-03-12,316,NA,"Y",412,"Missing"
"639",71,"Tomanamus","WA",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,316,NA,"N",859,"Missing"
"640",71,"Tomanamus","WA",2025,2025-07-31,NA,NA,"Missing",NA,2022-03-12,316,NA,"N",1237,"Missing"
"641",72,"Tomanamus","OR",2022,2022-02-07,91,8.4,"Alive",NA,2022-03-12,72,NA,"N",-33,"Alive"
"642",72,"Tomanamus","OR",2023,2023-04-28,92,11.6,"Alive",NA,2022-03-12,72,NA,"N",412,"Alive"
"643",72,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,72,NA,"N",859,"Alive"
"644",72,"Tomanamus","OR",2025,2025-07-31,130,19.6,"Alive",NA,2022-03-12,72,NA,"N",1237,"Alive"
"645",72,"Tomanamus","WA",2022,2022-02-07,96.4,10,"Alive",NA,2022-03-12,317,308,"N",-33,"Alive"
"646",72,"Tomanamus","WA",2023,2023-04-28,101,10.7,"Alive","browsed lateral",2022-03-12,317,308,"Y",412,"Alive"
"647",72,"Tomanamus","WA",2024,2024-07-18,112,14.8,"Alive","Browsed",2022-03-12,317,308,"Y",859,"Alive"
"648",72,"Tomanamus","WA",2025,2025-07-31,130,21.9,"Alive","middle",2022-03-12,317,308,"N",1237,"Alive"
"649",73,"Tomanamus","OR",2022,2022-02-07,85.8,7.9,"Alive",NA,2022-03-12,73,NA,"N",-33,"Alive"
"650",73,"Tomanamus","OR",2023,2023-04-28,88,10.5,"Alive",NA,2022-03-12,73,NA,"N",412,"Alive"
"651",73,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,73,NA,"N",859,"Alive"
"652",73,"Tomanamus","OR",2025,2025-07-31,160,22.6,"Alive",NA,2022-03-12,73,NA,"N",1237,"Alive"
"653",73,"Tomanamus","WA",2022,2022-02-07,94.8,11.5,"Alive",NA,2022-03-12,318,309,"N",-33,"Alive"
"654",73,"Tomanamus","WA",2023,2023-04-28,83,11.9,"Alive","browsed top",2022-03-12,318,309,"Y",412,"Alive"
"655",73,"Tomanamus","WA",2024,2024-07-18,82,18.2,"Alive","Browsed",2022-03-12,318,309,"Y",859,"Alive"
"656",73,"Tomanamus","WA",2025,2025-07-31,96,21.8,"Alive","browsed",2022-03-12,318,309,"Y",1237,"Alive"
"657",74,"Tomanamus","OR",2022,2022-02-07,81.6,11,"Alive",NA,2022-03-12,74,NA,"N",-33,"Missing"
"658",74,"Tomanamus","OR",2023,2023-04-28,69,10.7,"Alive","30% dead, top browsed",2022-03-12,74,NA,"Y",412,"Missing"
"659",74,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,74,NA,"N",859,"Missing"
"660",74,"Tomanamus","OR",2025,2025-07-31,NA,NA,"Missing",NA,2022-03-12,74,NA,"N",1237,"Missing"
"661",74,"Tomanamus","WA",2022,2022-02-07,62.2,7,"Alive",NA,2022-03-12,319,310,"N",-33,"Alive"
"662",74,"Tomanamus","WA",2023,2023-04-28,74,8.9,"Alive","browsed",2022-03-12,319,310,"Y",412,"Alive"
"663",74,"Tomanamus","WA",2024,2024-07-18,70,11,"Alive",NA,2022-03-12,319,310,"N",859,"Alive"
"664",74,"Tomanamus","WA",2025,2025-07-31,98,15.6,"Alive","flagging",2022-03-12,319,310,"N",1237,"Alive"
"665",75,"Tomanamus","OR",2022,2022-02-07,91.6,10,"Alive",NA,2022-03-12,75,NA,"N",-33,"Missing"
"666",75,"Tomanamus","OR",2023,2023-04-28,84,10.3,"Alive","20% dead, top browsed",2022-03-12,75,NA,"Y",412,"Missing"
"667",75,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,75,NA,"N",859,"Missing"
"668",75,"Tomanamus","OR",2025,2025-07-31,NA,NA,"Missing",NA,2022-03-12,75,NA,"N",1237,"Missing"
"669",75,"Tomanamus","WA",2022,2022-02-07,102.2,11,"Alive",NA,2022-03-12,320,NA,"N",-33,"Alive"
"670",75,"Tomanamus","WA",2023,2023-04-28,97,14.3,"Alive",NA,2022-03-12,320,NA,"N",412,"Alive"
"671",75,"Tomanamus","WA",2024,2024-07-18,NA,NA,"Missing",NA,2022-03-12,320,NA,"N",859,"Alive"
"672",75,"Tomanamus","WA",2025,2025-07-31,133,19,"Alive","browsed",2022-03-12,320,NA,"Y",1237,"Alive"
"673",76,"Tomanamus","OR",2022,2022-02-07,78.4,9,"Alive",NA,2022-03-12,76,264,"N",-33,"Alive"
"674",76,"Tomanamus","OR",2023,2023-04-28,80,10,"Alive",NA,2022-03-12,76,264,"N",412,"Alive"
"675",76,"Tomanamus","OR",2024,2024-07-18,92,12.5,"Alive",NA,2022-03-12,76,264,"N",859,"Alive"
"676",76,"Tomanamus","OR",2025,2025-07-31,130,16,"Alive",NA,2022-03-12,76,264,"N",1237,"Alive"
"677",76,"Tomanamus","WA",2022,2022-02-07,93.6,10.5,"Alive",NA,2022-03-12,321,401,"N",-33,"Alive"
"678",76,"Tomanamus","WA",2023,2023-04-28,99.5,11.5,"Alive","20% branches dead",2022-03-12,321,401,"N",412,"Alive"
"679",76,"Tomanamus","WA",2024,2024-07-18,116,11.6,"Alive","Thimble berry",2022-03-12,321,401,"N",859,"Alive"
"680",76,"Tomanamus","WA",2025,2025-07-31,155,13.54,"Alive","middle crown missing",2022-03-12,321,401,"N",1237,"Alive"
"681",77,"Tomanamus","OR",2022,2022-02-07,101,11,"Alive",NA,2022-03-12,77,265,"N",-33,"Alive"
"682",77,"Tomanamus","OR",2023,2023-04-28,118,12.6,"Alive",NA,2022-03-12,77,265,"N",412,"Alive"
"683",77,"Tomanamus","OR",2024,2024-07-18,139,11.7,"Alive",NA,2022-03-12,77,265,"N",859,"Alive"
"684",77,"Tomanamus","OR",2025,2025-07-31,154,14.1,"Alive","Browsed, bare middle",2022-03-12,77,265,"Y",1237,"Alive"
"685",77,"Tomanamus","WA",2022,2022-02-07,102,13,"Alive",NA,2022-03-12,322,402,"N",-33,"Alive"
"686",77,"Tomanamus","WA",2023,2023-04-28,104.5,12.3,"Alive","25% branches dead",2022-03-12,322,402,"N",412,"Alive"
"687",77,"Tomanamus","WA",2024,2024-07-18,127,15.2,"Alive","Thimble Berry",2022-03-12,322,402,"N",859,"Alive"
"688",77,"Tomanamus","WA",2025,2025-07-31,167,26.5,"Alive","brown foliage",2022-03-12,322,402,"N",1237,"Alive"
"689",78,"Tomanamus","OR",2022,2022-02-07,90.6,10,"Alive",NA,2022-03-12,78,266,"N",-33,"Alive"
"690",78,"Tomanamus","OR",2023,2023-04-28,98,8.7,"Alive",NA,2022-03-12,78,266,"N",412,"Alive"
"691",78,"Tomanamus","OR",2024,2024-07-18,120,12.4,"Alive",NA,2022-03-12,78,266,"N",859,"Alive"
"692",78,"Tomanamus","OR",2025,2025-07-31,157,17.4,"Alive",NA,2022-03-12,78,266,"N",1237,"Alive"
"693",78,"Tomanamus","WA",2022,2022-02-07,73,9.5,"Alive",NA,2022-03-12,323,403,"N",-33,"Alive"
"694",78,"Tomanamus","WA",2023,2023-04-28,66,11.2,"Alive","20% branches deas, top browse",2022-03-12,323,403,"N",412,"Alive"
"695",78,"Tomanamus","WA",2024,2024-07-18,73,9.9,"Alive","Severe Browsing",2022-03-12,323,403,"N",859,"Alive"
"696",78,"Tomanamus","WA",2025,2025-07-31,87,12,"Alive",NA,2022-03-12,323,403,"N",1237,"Alive"
"697",79,"Tomanamus","OR",2022,2022-02-07,92.4,9,"Alive",NA,2022-03-12,79,267,"N",-33,"Alive"
"698",79,"Tomanamus","OR",2023,2023-04-28,99,11.4,"Alive",NA,2022-03-12,79,267,"N",412,"Alive"
"699",79,"Tomanamus","OR",2024,2024-07-18,131,12.3,"Alive",NA,2022-03-12,79,267,"N",859,"Alive"
"700",79,"Tomanamus","OR",2025,2025-07-31,184,21.6,"Alive",NA,2022-03-12,79,267,"N",1237,"Alive"
"701",79,"Tomanamus","WA",2022,2022-02-07,89.6,11.5,"Alive",NA,2022-03-12,324,404,"N",-33,"Alive"
"702",79,"Tomanamus","WA",2023,2023-04-28,92,12.2,"Alive","20% branches dead",2022-03-12,324,404,"N",412,"Alive"
"703",79,"Tomanamus","WA",2024,2024-07-18,126,13.7,"Alive",NA,2022-03-12,324,404,"N",859,"Alive"
"704",79,"Tomanamus","WA",2025,2025-07-31,156,19.3,"Alive",NA,2022-03-12,324,404,"N",1237,"Alive"
"705",80,"Tomanamus","OR",2022,2022-02-07,89.2,7,"Alive",NA,2022-03-12,80,268,"N",-33,"Alive"
"706",80,"Tomanamus","OR",2023,2023-04-28,86,8.5,"Alive","20% dead",2022-03-12,80,268,"N",412,"Alive"
"707",80,"Tomanamus","OR",2024,2024-07-18,112,15.7,"Alive","Browsed Middle",2022-03-12,80,268,"Y",859,"Alive"
"708",80,"Tomanamus","OR",2025,2025-07-31,143,19.2,"Alive","middle browsed",2022-03-12,80,268,"Y",1237,"Alive"
"709",80,"Tomanamus","WA",2022,2022-02-07,96.4,11,"Alive",NA,2022-03-12,325,405,"N",-33,"Alive"
"710",80,"Tomanamus","WA",2023,2023-04-28,92,13.6,"Alive","10% browse, branches browsed",2022-03-12,325,405,"Y",412,"Alive"
"711",80,"Tomanamus","WA",2024,2024-07-18,99,13.2,"Alive","Browsed",2022-03-12,325,405,"Y",859,"Alive"
"712",80,"Tomanamus","WA",2025,2025-07-31,106,18.2,"Alive","browsed",2022-03-12,325,405,"Y",1237,"Alive"
"713",81,"Tomanamus","OR",2022,2022-02-07,72,9.5,"Alive",NA,2022-03-12,81,269,"N",-33,"Alive"
"714",81,"Tomanamus","OR",2023,2023-04-28,74,10.3,"Alive",NA,2022-03-12,81,269,"N",412,"Alive"
"715",81,"Tomanamus","OR",2024,2024-07-18,126,14.9,"Alive",NA,2022-03-12,81,269,"N",859,"Alive"
